
Ingredient_Name,INCI_Name,Primary_Function,Anti_Aging_Effectiveness,Acne_Effectiveness,Hyperpigmentation_Effectiveness,Hydration_Effectiveness,Sensitivity_Effectiveness,Clinical_Studies_Count,Evidence_Level,Optimal_Concentration_Min,Optimal_Concentration_Max,Time_To_Results_Weeks,Mechanism_Of_Action,Synergistic_Partners,Antagonistic_Ingredients,pH_Stability_Min,pH_Stability_Max,Molecular_Weight,Penetration_Ability,Cost_Effectiveness_Rating,Availability_Rating,Tolerability_Rating,Pregnancy_Safe,Breastfeeding_Safe,Usage_Notes_EN,Usage_Notes_AR
Mixed Tocopherols,Mixed Tocopherols,Antioxidant,6.0,3.0,3.5,5.5,8.5,80,High,0.1,1.5,4,Broad spectrum antioxidant protection,Vitamin C; Ascorbyl Palmitate; Rosemary Extract,None known,4.0,8.0,Variable,Medium,7.0,8.0,8.5,Yes,Yes,Natural vitamin E complex. Better than synthetic,مركب فيتامين هـ الطبيعي. أفضل من الاصطناعي
Ferulic Acid,Ferulic Acid,Antioxidant,7.0,4.0,6.0,5.0,8.0,45,Medium,0.1,1.0,6,Stabilizes vitamin C and E,Vitamin C; Vitamin E; Resveratrol,None known,3.0,6.0,194.18,Medium,6.0,6.5,8.0,Yes,Yes,Powerful antioxidant that stabilizes other antioxidants,مضاد أكسدة قوي يثبت مضادات الأكسدة الأخرى
Resveratrol,Resveratrol,Antioxidant,7.5,4.5,6.5,4.5,7.5,60,High,0.1,2.0,8,Potent antioxidant and anti-inflammatory,Vitamin C; Vitamin E; Ferulic Acid,None known,4.0,7.0,228.24,Medium,5.5,6.0,7.5,Yes,Yes,Powerful anti-aging antioxidant from grapes,مضاد أكسدة قوي مكافح للشيخوخة من العنب
Green Tea Extract,Camellia Sinensis Leaf Extract,Antioxidant/Anti-inflammatory,6.0,5.5,5.0,4.0,8.0,120,High,0.5,5.0,4,Rich in polyphenols and EGCG,Vitamin C; Niacinamide; Hyaluronic Acid,None known,4.0,7.0,Variable,Medium,7.5,8.5,8.5,Yes,Yes,Excellent for sensitive and acne-prone skin,ممتاز للبشرة الحساسة والمعرضة لحب الشباب
White Tea Extract,Camellia Sinensis Leaf Extract,Antioxidant,5.5,4.5,4.5,4.0,8.5,40,Medium,0.5,3.0,4,Higher antioxidant content than green tea,Vitamin C; Hyaluronic Acid; Ceramides,None known,4.0,7.0,Variable,Medium,6.5,7.0,8.5,Yes,Yes,More potent antioxidant than green tea,مضاد أكسدة أقوى من الشاي الأخضر
Grape Seed Extract,Vitis Vinifera Seed Extract,Antioxidant,6.5,4.0,5.5,4.0,8.0,70,High,0.1,2.0,6,Rich in proanthocyanidins,Vitamin C; Resveratrol; Hyaluronic Acid,None known,4.0,7.0,Variable,Medium,6.0,7.0,8.0,Yes,Yes,Powerful antioxidant with anti-aging benefits,مضاد أكسدة قوي مع فوائل مكافحة الشيخوخة
Pomegranate Extract,Punica Granatum Extract,Antioxidant/Anti-inflammatory,6.0,4.5,5.0,4.0,8.0,35,Medium,0.5,3.0,6,Rich in ellagic acid and punicalagins,Vitamin C; Niacinamide; Hyaluronic Acid,None known,4.0,7.0,Variable,Medium,5.5,6.5,8.0,Yes,Yes,Excellent for mature and sun-damaged skin,ممتاز للبشرة الناضجة والمتضررة من الشمس
Goji Berry Extract,Lycium Barbarum Fruit Extract,Antioxidant,5.0,3.5,4.0,5.0,8.5,20,Low,0.5,2.0,6,Rich in vitamins and minerals,Vitamin C; Hyaluronic Acid; Peptides,None known,4.0,7.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Nutrient-rich extract with anti-aging properties,مستخلص غني بالعناصر الغذائية مع خصائص مكافحة الشيخوخة
Acai Berry Extract,Euterpe Oleracea Fruit Extract,Antioxidant,5.5,3.5,4.5,4.5,8.5,25,Low,0.5,2.0,6,High in anthocyanins and vitamins,Vitamin C; Vitamin E; Hyaluronic Acid,None known,4.0,7.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Superfruit with high antioxidant content,فاكهة فائقة مع محتوى عالي من مضادات الأكسدة
Aloe Vera,Aloe Barbadensis Leaf Juice,Soothing/Hydrating,4.0,5.0,3.0,8.0,9.5,200,Very High,5.0,95.0,2,Anti-inflammatory and hydrating,Hyaluronic Acid; Panthenol; Allantoin,None known,4.0,8.0,Variable,Medium,9.0,9.5,9.5,Yes,Yes,Excellent for sensitive and irritated skin,ممتاز للبشرة الحساسة والمتهيجة
Chamomile Extract,Chamomilla Recutita Extract,Soothing/Anti-inflammatory,4.5,4.0,3.0,5.0,9.0,80,High,0.5,5.0,3,Rich in bisabolol and chamazulene,Aloe Vera; Panthenol; Allantoin,None known,4.0,7.0,Variable,Medium,7.5,8.5,9.0,Yes,Yes,Gentle anti-inflammatory for sensitive skin,مضاد التهاب لطيف للبشرة الحساسة
Calendula Extract,Calendula Officinalis Extract,Healing/Soothing,4.0,4.5,3.0,5.5,9.0,60,Medium,0.5,5.0,3,Wound healing and anti-inflammatory,Aloe Vera; Panthenol; Centella Asiatica,None known,4.0,7.0,Variable,Medium,7.0,8.0,9.0,Yes,Yes,Excellent for damaged and sensitive skin,ممتاز للبشرة المتضررة والحساسة
Centella Asiatica Extract,Centella Asiatica Extract,Healing/Anti-inflammatory,5.5,6.0,4.0,6.0,9.5,100,High,0.1,5.0,4,Rich in asiaticoside and madecassoside,Niacinamide; Hyaluronic Acid; Panthenol,None known,4.0,7.0,Variable,Medium,7.5,8.0,9.5,Yes,Yes,Powerful healing and anti-inflammatory ingredient,مكون قوي للشفاء ومضاد للالتهاب
Licorice Root Extract,Glycyrrhiza Glabra Root Extract,Brightening/Anti-inflammatory,5.0,5.5,7.5,4.0,8.5,70,High,0.5,5.0,6,Contains glabridin for skin brightening,Vitamin C; Kojic Acid; Arbutin,None known,4.0,7.0,Variable,Medium,7.0,8.0,8.5,Yes,Yes,Natural skin brightener with anti-inflammatory benefits,مبيض طبيعي للبشرة مع فوائد مضادة للالتهاب
Arbutin,Arbutin,Skin Brightening,4.0,3.0,8.0,3.0,8.0,50,Medium,1.0,7.0,8,Inhibits tyrosinase enzyme,Vitamin C; Kojic Acid; Licorice Extract,None known,4.0,7.0,272.25,Medium,6.5,7.5,8.5,Yes,Yes,Gentle alternative to hydroquinone,بديل لطيف للهيدروكينون
Alpha Arbutin,Alpha Arbutin,Skin Brightening,4.5,3.0,8.5,3.0,8.5,30,Medium,0.5,2.0,6,More stable form of arbutin,Vitamin C; Niacinamide; Hyaluronic Acid,None known,4.0,7.0,272.25,Medium,6.0,7.0,8.5,Yes,Yes,More effective than regular arbutin,أكثر فعالية من الأربوتين العادي
Beta Arbutin,Beta Arbutin,Skin Brightening,4.0,3.0,7.5,3.0,8.0,25,Low,1.0,5.0,8,Natural form of arbutin,Vitamin C; Kojic Acid; Licorice Extract,None known,4.0,7.0,272.25,Medium,6.5,7.5,8.0,Yes,Yes,Natural form found in bearberry,الشكل الطبيعي الموجود في عنب الدب
Mulberry Extract,Morus Alba Root Extract,Skin Brightening,4.5,3.5,7.0,4.0,8.5,35,Medium,0.5,3.0,8,Contains mulberroside F,Vitamin C; Arbutin; Licorice Extract,None known,4.0,7.0,Variable,Medium,6.0,7.0,8.5,Yes,Yes,Natural tyrosinase inhibitor,مثبط طبيعي للتيروزيناز
Paper Mulberry Extract,Broussonetia Papyrifera Extract,Skin Brightening,4.0,3.0,6.5,3.5,8.0,20,Low,0.5,2.0,8,Natural skin brightener,Vitamin C; Arbutin; Kojic Acid,None known,4.0,7.0,Variable,Medium,5.5,6.5,8.0,Yes,Yes,Traditional Asian brightening ingredient,مكون تبييض آسيوي تقليدي
Bearberry Extract,Arctostaphylos Uva Ursi Extract,Skin Brightening,4.0,3.0,7.0,3.0,8.0,30,Medium,0.5,3.0,8,Natural source of arbutin,Arbutin; Vitamin C; Licorice Extract,None known,4.0,7.0,Variable,Medium,6.0,7.0,8.0,Yes,Yes,Natural source of arbutin,مصدر طبيعي للأربوتين
Willow Bark Extract,Salix Alba Bark Extract,Exfoliant/Anti-inflammatory,5.5,7.0,5.0,4.0,7.5,60,Medium,0.5,5.0,4,Natural source of salicylic acid,Niacinamide; Hyaluronic Acid; Aloe Vera,Retinoids; Strong acids,4.0,7.0,Variable,Medium,7.0,8.0,8.0,Yes,Yes,Gentler alternative to salicylic acid,بديل أكثر لطفاً لحمض الساليسيليك
Tea Tree Oil,Melaleuca Alternifolia Leaf Oil,Antimicrobial/Anti-inflammatory,3.0,8.5,3.0,2.0,6.5,120,High,0.5,5.0,2,Antimicrobial and anti-inflammatory,Niacinamide; Salicylic Acid; Zinc,None known,4.0,7.0,154.25,High,7.5,8.5,7.0,Yes,Yes,Potent antimicrobial. May cause sensitivity,مضاد ميكروبي قوي. قد يسبب حساسية
Lavender Oil,Lavandula Angustifolia Oil,Soothing/Antimicrobial,3.5,4.0,2.0,4.0,7.0,50,Medium,0.1,2.0,3,Calming and antimicrobial,Chamomile; Aloe Vera; Panthenol,None known,4.0,7.0,154.25,High,6.5,8.0,7.5,Yes,Yes,Calming scent but may cause sensitivity,رائحة مهدئة لكن قد تسبب حساسية
Rosemary Extract,Rosmarinus Officinalis Extract,Antioxidant/Antimicrobial,5.0,4.5,3.0,3.0,7.5,40,Medium,0.1,2.0,4,Rich in rosmarinic acid,Vitamin E; Green Tea Extract; Vitamin C,None known,4.0,7.0,Variable,Medium,7.0,8.0,8.0,Yes,Yes,Natural preservative with antioxidant benefits,حافظة طبيعية مع فوائد مضادة للأكسدة
Sage Extract,Salvia Officinalis Extract,Astringent/Antimicrobial,4.0,5.0,3.0,3.0,7.0,30,Low,0.5,3.0,4,Astringent and antimicrobial,Tea Tree Oil; Witch Hazel; Niacinamide,None known,4.0,7.0,Variable,Medium,6.5,7.5,7.5,Yes,Yes,Good for oily and acne-prone skin,مناسب للبشرة الدهنية والمعرضة لحب الشباب
Witch Hazel,Hamamelis Virginiana Extract,Astringent/Anti-inflammatory,4.0,6.0,3.0,3.0,7.5,80,High,2.0,15.0,2,Astringent and anti-inflammatory,Niacinamide; Salicylic Acid; Aloe Vera,None known,4.0,7.0,Variable,Medium,8.5,9.0,8.0,Yes,Yes,Natural astringent. Good for oily skin,قابض طبيعي. مناسب للبشرة الدهنية
Horse Chestnut Extract,Aesculus Hippocastanum Extract,Anti-inflammatory/Circulation,4.5,4.0,3.0,4.0,8.0,35,Medium,0.5,3.0,6,Improves circulation and reduces inflammation,Caffeine; Centella Asiatica; Vitamin K,None known,4.0,7.0,Variable,Medium,6.0,7.0,8.0,Yes,Yes,Good for under-eye circles and puffiness,مناسب للهالات السوداء والانتفاخ تحت العينين
Ginkgo Biloba Extract,Ginkgo Biloba Extract,Antioxidant/Circulation,5.0,3.5,4.0,4.0,8.0,60,Medium,0.1,2.0,6,Improves circulation and provides antioxidants,Vitamin C; Caffeine; Horse Chestnut,None known,4.0,7.0,Variable,Medium,6.5,7.5,8.0,Yes,Yes,Improves skin circulation and provides antioxidant protection,يحسن الدورة الدموية للبشرة ويوفر حماية مضادة للأكسدة
Ginseng Extract,Panax Ginseng Root Extract,Anti-aging/Energizing,6.0,3.0,4.0,5.0,8.0,45,Medium,0.1,2.0,8,Energizing and anti-aging,Vitamin C; Peptides; Hyaluronic Acid,None known,4.0,7.0,Variable,Medium,5.5,6.5,8.0,Yes,Yes,Revitalizing ingredient for mature skin,مكون منشط للبشرة الناضجة
Seaweed Extract,Fucus Vesiculosus Extract,Hydrating/Mineral-rich,4.0,3.5,3.0,7.0,8.5,40,Medium,0.5,5.0,4,Rich in minerals and vitamins,Hyaluronic Acid; Marine Collagen; Algae,None known,4.0,8.0,Variable,Medium,6.5,7.5,8.5,Yes,Yes,Rich in minerals and trace elements,غني بالمعادن والعناصر النادرة
Kelp Extract,Macrocystis Pyrifera Extract,Hydrating/Antioxidant,4.0,3.0,3.0,7.5,8.5,30,Low,0.5,5.0,4,Rich in iodine and minerals,Seaweed Extract; Hyaluronic Acid; Marine ingredients,None known,4.0,8.0,Variable,Medium,6.0,7.0,8.5,Yes,Yes,Marine ingredient rich in nutrients,مكون بحري غني بالعناصر الغذائية
Spirulina Extract,Spirulina Platensis Extract,Antioxidant/Detoxifying,5.0,4.0,4.0,5.0,8.0,25,Low,0.1,2.0,6,Rich in proteins and antioxidants,Vitamin C; Chlorella; Marine extracts,None known,4.0,7.0,Variable,Medium,5.5,6.5,8.0,Yes,Yes,Superfood ingredient with detoxifying properties,مكون غذاء فائق مع خصائص إزالة السموم
Chlorella Extract,Chlorella Vulgaris Extract,Detoxifying/Antioxidant,4.5,4.0,3.5,5.0,8.0,20,Low,0.1,2.0,6,Rich in chlorophyll and nutrients,Spirulina; Vitamin C; Marine extracts,None known,4.0,7.0,Variable,Medium,5.0,6.0,8.0,Yes,Yes,Detoxifying algae with high nutrient content,طحالب إزالة السموم مع محتوى غذائي عالي
Cucumber Extract,Cucumis Sativus Extract,Soothing/Hydrating,3.0,3.5,2.0,7.0,9.0,50,Medium,1.0,10.0,2,Cooling and hydrating,Aloe Vera; Hyaluronic Acid; Panthenol,None known,4.0,8.0,Variable,Medium,8.5,9.5,9.5,Yes,Yes,Cooling and soothing for all skin types,مبرد ومهدئ لجميع أنواع البشرة
Watermelon Extract,Citrullus Lanatus Extract,Hydrating/Antioxidant,3.5,3.0,3.0,7.5,9.0,25,Low,0.5,5.0,3,Rich in lycopene and amino acids,Hyaluronic Acid; Glycerin; Cucumber Extract,None known,4.0,8.0,Variable,Medium,7.0,8.0,9.0,Yes,Yes,Hydrating fruit extract with antioxidants,مستخلص فاكهة مرطب مع مضادات الأكسدة
Papaya Extract,Carica Papaya Fruit Extract,Exfoliant/Brightening,5.0,5.5,6.0,5.0,7.5,35,Medium,0.5,5.0,4,Contains papain enzyme for gentle exfoliation,AHA; Vitamin C; Pineapple Extract,Retinoids; Strong acids,4.0,7.0,Variable,Medium,6.5,7.5,8.0,Yes,Yes,Natural enzyme exfoliant,مقشر إنزيمي طبيعي
Pineapple Extract,Ananas Sativus Extract,Exfoliant/Brightening,4.5,5.0,5.5,4.5,7.5,30,Medium,0.5,5.0,4,Contains bromelain enzyme,Papaya Extract; AHA; Vitamin C,Retinoids; Strong acids,4.0,7.0,Variable,Medium,6.5,7.5,8.0,Yes,Yes,Enzyme exfoliant with brightening properties,مقشر إنزيمي مع خصائص تبييض
Pumpkin Extract,Cucurbita Pepo Extract,Exfoliant/Antioxidant,5.5,5.5,5.0,5.0,7.5,25,Low,1.0,10.0,4,Rich in enzymes and vitamins,AHA; Vitamin C; Retinol,Strong acids,4.0,7.0,Variable,Medium,6.0,7.0,8.0,Yes,Yes,Natural source of fruit acids and enzymes,مصدر طبيعي لأحماض الفاكهة والإنزيمات
Oat Extract,Avena Sativa Extract,Soothing/Anti-inflammatory,4.0,4.0,2.0,6.5,9.5,70,High,1.0,10.0,3,Rich in beta-glucan and avenanthramides,Aloe Vera; Chamomile; Panthenol,None known,4.0,8.0,Variable,Medium,8.5,9.0,9.5,Yes,Yes,Excellent for sensitive and irritated skin,ممتاز للبشرة الحساسة والمتهيجة
Rice Bran Extract,Oryza Sativa Bran Extract,Brightening/Antioxidant,5.0,4.0,6.0,5.5,8.5,40,Medium,0.5,5.0,6,Rich in kojic acid and vitamin E,Kojic Acid; Vitamin C; Arbutin,None known,4.0,7.0,Variable,Medium,7.0,8.0,8.5,Yes,Yes,Natural brightening ingredient from rice,مكون تبييض طبيعي من الأرز
Soy Extract,Glycine Soja Extract,Brightening/Anti-aging,5.5,4.0,6.5,5.0,8.0,50,Medium,0.5,5.0,8,Contains isoflavones and proteins,Vitamin C; Niacinamide; Peptides,None known,4.0,7.0,Variable,Medium,7.5,8.5,8.5,Yes,Yes,Rich in isoflavones with anti-aging benefits,غني بالإيزوفلافون مع فوائد مكافحة الشيخوخة
Tomato Extract,Solanum Lycopersicum Extract,Antioxidant/Brightening,4.5,4.0,5.0,4.0,8.0,30,Low,0.5,3.0,6,Rich in lycopene,Vitamin C; Vitamin E; Watermelon Extract,None known,4.0,7.0,Variable,Medium,6.5,7.5,8.0,Yes,Yes,Rich in lycopene antioxidant,غني بمضاد الأكسدة الليكوبين
Carrot Extract,Daucus Carota Extract,Antioxidant/Conditioning,4.0,3.0,4.0,5.5,8.5,25,Low,0.5,5.0,6,Rich in beta-carotene,Vitamin A; Vitamin C; Rosehip Oil,Retinoids (may increase sensitivity),4.0,7.0,Variable,Medium,7.0,8.0,8.5,Yes,Yes,Natural source of beta-carotene,مصدر طبيعي للبيتا كاروتين
Beet Root Extract,Beta Vulgaris Root Extract,Antioxidant/Hydrating,3.5,3.0,4.0,6.0,8.5,20,Low,0.5,3.0,4,Rich in betalains and nitrates,Vitamin C; Hyaluronic Acid; Glycerin,None known,4.0,7.0,Variable,Medium,6.0,7.0,8.5,Yes,Yes,Natural colorant with antioxidant properties,ملون طبيعي مع خصائص مضادة للأكسدة
Sweet Potato Extract,Ipomoea Batatas Root Extract,Antioxidant/Conditioning,4.0,3.0,4.5,6.0,8.5,15,Low,0.5,3.0,6,Rich in vitamins and minerals,Vitamin C; Hyaluronic Acid; Ceramides,None known,4.0,7.0,Variable,Medium,6.5,7.5,8.5,Yes,Yes,Nutrient-rich root extract,مستخلص جذر غني بالعناصر الغذائية
Palmitoyl Pentapeptide-4,Palmitoyl Pentapeptide-4,Anti-aging Peptide,8.0,3.0,4.0,5.0,8.0,60,High,0.001,0.01,12,Stimulates collagen production,Hyaluronic Acid; Vitamin C; Retinol,None known,4.0,7.0,802.0,Medium,5.5,6.5,8.5,Yes,Yes,Matrixyl peptide. Stimulates collagen synthesis,ببتيد ماتريكسيل. يحفز تخليق الكولاجين
Palmitoyl Tripeptide-1,Palmitoyl Tripeptide-1,Anti-aging Peptide,7.5,3.0,3.5,4.5,8.5,45,Medium,0.001,0.005,12,Promotes collagen and elastin,Palmitoyl Tetrapeptide-7; Hyaluronic Acid; Vitamin C,None known,4.0,7.0,578.8,Medium,5.0,6.0,8.5,Yes,Yes,Part of Matrixyl 3000 complex,جزء من مركب ماتريكسيل 3000
Palmitoyl Tetrapeptide-7,Palmitoyl Tetrapeptide-7,Anti-aging Peptide,7.0,3.0,3.0,4.0,9.0,40,Medium,0.001,0.005,12,Reduces inflammation and promotes repair,Palmitoyl Tripeptide-1; Hyaluronic Acid; Niacinamide,None known,4.0,7.0,691.9,Medium,5.0,6.0,9.0,Yes,Yes,Anti-inflammatory peptide,ببتيد مضاد للالتهاب
Acetyl Hexapeptide-8,Acetyl Hexapeptide-8,Anti-wrinkle Peptide,8.5,2.0,2.0,3.0,8.0,50,High,0.001,0.01,8,Reduces muscle contractions,Hyaluronic Acid; Peptides; Vitamin C,None known,4.0,7.0,888.0,Medium,4.5,5.5,8.5,Yes,Yes,Argireline peptide. Reduces expression lines,ببتيد أرجيريلين. يقلل خطوط التعبير
Copper Peptides,Copper Tripeptide-1,Healing/Anti-aging,7.5,5.0,4.0,5.0,7.5,70,High,0.001,0.01,10,Promotes wound healing and collagen,Hyaluronic Acid; Vitamin C; Niacinamide,Vitamin C (may reduce stability),4.0,7.0,404.0,High,4.0,5.0,8.0,Yes,Yes,Powerful healing and anti-aging peptide,ببتيد قوي للشفاء ومكافحة الشيخوخة
Palmitoyl Oligopeptide,Palmitoyl Oligopeptide,Anti-aging Peptide,7.0,3.0,3.0,4.0,8.5,35,Medium,0.001,0.005,12,Stimulates skin renewal,Other peptides; Hyaluronic Acid; Vitamin C,None known,4.0,7.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Promotes skin renewal and repair,يعزز تجديد البشرة وإصلاحها
Hexapeptide-11,Hexapeptide-11,Firming Peptide,7.0,2.5,2.5,4.0,8.5,25,Low,0.001,0.005,12,Improves skin firmness,Other peptides; Hyaluronic Acid; Vitamin C,None known,4.0,7.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,Firming and tightening peptide,ببتيد مشد ومقوي
Dipeptide Diaminobutyroyl Benzylamide Diacetate,Dipeptide Diaminobutyroyl Benzylamide Diacetate,Anti-wrinkle Peptide,8.0,2.0,2.0,3.0,8.0,30,Medium,0.001,0.005,8,Syn-Ake peptide for wrinkle reduction,Acetyl Hexapeptide-8; Hyaluronic Acid; Peptides,None known,4.0,7.0,Variable,Medium,4.0,5.0,8.5,Yes,Yes,Snake venom-inspired peptide,ببتيد مستوحى من سم الثعبان
Tripeptide-1,Tripeptide-1,Collagen-boosting Peptide,6.5,3.0,3.0,4.5,8.5,20,Low,0.001,0.01,12,Stimulates collagen production,Other peptides; Vitamin C; Hyaluronic Acid,None known,4.0,7.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Basic collagen-stimulating peptide,ببتيد أساسي محفز للكولاجين
Pentapeptide-18,Pentapeptide-18,Anti-wrinkle Peptide,7.5,2.0,2.0,3.0,8.5,25,Low,0.001,0.005,10,Leuphasyl peptide for expression lines,Acetyl Hexapeptide-8; Hyaluronic Acid; Other peptides,None known,4.0,7.0,Variable,Medium,4.0,5.0,8.5,Yes,Yes,Reduces neurotransmitter release,يقلل إطلاق الناقلات العصبية
Caffeine,Caffeine,Stimulant/Anti-inflammatory,4.0,4.5,3.0,3.0,7.5,100,High,0.5,5.0,2,Stimulates circulation and reduces puffiness,Horse Chestnut; Ginkgo; Vitamin K,None known,4.0,8.0,194.19,High,8.0,9.0,8.0,Yes,Yes,Excellent for under-eye puffiness,ممتاز لانتفاخ تحت العينين
Adenosine,Adenosine,Anti-aging/Energizing,6.5,3.0,3.0,5.0,8.5,40,Medium,0.01,0.1,8,Cellular energy and anti-aging,Peptides; Niacinamide; Hyaluronic Acid,None known,4.0,7.0,267.24,Medium,5.0,6.0,8.5,Yes,Yes,Cellular energizer with anti-aging benefits,منشط خلوي مع فوائد مكافحة الشيخوخة
Allantoin,Allantoin,Soothing/Healing,4.0,4.5,2.0,6.0,9.5,80,High,0.1,2.0,3,Promotes wound healing and soothes,Panthenol; Aloe Vera; Chamomile,None known,4.0,8.0,158.12,Medium,8.5,9.0,9.5,Yes,Yes,Excellent for sensitive and damaged skin,ممتاز للبشرة الحساسة والمتضررة
Bisabolol,Bisabolol,Anti-inflammatory/Soothing,4.5,4.0,3.0,5.0,9.0,50,Medium,0.1,1.0,3,Anti-inflammatory and antimicrobial,Chamomile; Panthenol; Allantoin,None known,4.0,7.0,222.37,Medium,6.5,7.5,9.0,Yes,Yes,Active component of chamomile,المكون النشط للبابونج
Madecassoside,Madecassoside,Healing/Anti-inflammatory,5.5,5.5,4.0,5.5,9.5,60,High,0.1,1.0,4,Potent anti-inflammatory from centella,Centella Asiatica; Asiaticoside; Niacinamide,None known,4.0,7.0,975.12,Medium,5.5,6.5,9.5,Yes,Yes,Most potent centella compound,أقوى مركب سنتيلا
Asiaticoside,Asiaticoside,Healing/Anti-inflammatory,5.0,5.0,3.5,5.0,9.0,45,Medium,0.1,1.0,4,Wound healing from centella,Madecassoside; Centella Asiatica; Panthenol,None known,4.0,7.0,959.12,Medium,5.0,6.0,9.0,Yes,Yes,Healing compound from centella,مركب شفاء من السنتيلا
Asiatic Acid,Asiatic Acid,Anti-inflammatory/Healing,5.0,5.0,3.5,4.5,9.0,35,Medium,0.05,0.5,4,Anti-inflammatory centella compound,Other centella compounds; Niacinamide; Panthenol,None known,4.0,7.0,488.70,Medium,4.5,5.5,9.0,Yes,Yes,Pure anti-inflammatory compound,مركب مضاد للالتهاب نقي
Madecassic Acid,Madecassic Acid,Anti-inflammatory/Healing,5.0,5.0,3.5,4.5,9.0,30,Medium,0.05,0.5,4,Anti-inflammatory centella compound,Other centella compounds; Niacinamide; Allantoin,None known,4.0,7.0,504.70,Medium,4.5,5.5,9.0,Yes,Yes,Potent anti-inflammatory acid,حمض مضاد للالتهاب قوي
Urea,Urea,Humectant/Exfoliant,5.0,4.0,3.0,8.5,7.5,120,High,2.0,20.0,2,Hydrates and gently exfoliates,Hyaluronic Acid; Glycerin; Lactic Acid,None known,4.0,8.0,60.06,Medium,9.0,9.5,8.0,Yes,Yes,Natural moisturizing factor. Good for dry skin,عامل ترطيب طبيعي. مناسب للبشرة الجافة
Sodium PCA,Sodium PCA,Humectant,3.5,3.0,2.0,8.0,9.0,60,Medium,1.0,10.0,1,Natural moisturizing factor,Hyaluronic Acid; Glycerin; Sodium Lactate,None known,4.0,8.0,139.11,Medium,8.0,8.5,9.0,Yes,Yes,Component of skin's natural moisturizing factor,مكون من عامل الترطيب الطبيعي للبشرة
Sodium Lactate,Sodium Lactate,Humectant/pH Buffer,3.5,3.0,2.0,7.5,8.5,40,Medium,1.0,5.0,2,Humectant and pH adjuster,Lactic Acid; Sodium PCA; Glycerin,None known,4.0,8.0,112.06,Medium,8.5,9.0,8.5,Yes,Yes,Natural humectant and pH buffer,مرطب طبيعي ومنظم للرقم الهيدروجيني
Arginine,Arginine,Conditioning/pH Buffer,4.0,3.5,2.0,6.0,8.5,50,Medium,0.1,2.0,4,Amino acid for skin conditioning,Hyaluronic Acid; Peptides; Ceramides,Strong acids,8.0,10.0,174.20,Medium,7.5,8.5,8.5,Yes,Yes,Basic amino acid with conditioning properties,حمض أميني أساسي مع خصائص تكييفية
Lysine,Lysine,Conditioning/Healing,4.0,4.0,2.0,5.5,8.5,35,Medium,0.1,1.0,4,Essential amino acid for skin,Other amino acids; Peptides; Proteins,None known,4.0,8.0,146.19,Medium,7.0,8.0,8.5,Yes,Yes,Essential amino acid for skin health,حمض أميني أساسي لصحة البشرة
Proline,Proline,Anti-aging/Conditioning,5.0,3.0,2.0,6.0,8.5,30,Low,0.1,1.0,6,Important for collagen synthesis,Other amino acids; Vitamin C; Peptides,None known,4.0,8.0,115.13,Medium,6.5,7.5,8.5,Yes,Yes,Critical amino acid for collagen,حمض أميني حاسم للكولاجين
Glycine,Glycine,Conditioning/Soothing,3.5,3.0,2.0,6.0,9.0,40,Medium,0.1,2.0,4,Simplest amino acid,Other amino acids; Collagen; Peptides,None known,4.0,8.0,75.07,Medium,8.0,9.0,9.0,Yes,Yes,Simplest amino acid with soothing properties,أبسط حمض أميني مع خصائص مهدئة
Serine,Serine,Hydrating/Conditioning,4.0,3.0,2.0,7.0,8.5,25,Low,0.1,1.0,4,Hydrating amino acid,Hyaluronic Acid; Other amino acids; Glycerin,None known,4.0,8.0,105.09,Medium,7.0,8.0,8.5,Yes,Yes,Natural moisturizing amino acid,حمض أميني مرطب طبيعي
Threonine,Threonine,Conditioning/Barrier,4.0,3.0,2.0,6.5,8.5,20,Low,0.1,1.0,4,Essential amino acid,Other amino acids; Ceramides; Proteins,None known,4.0,8.0,119.12,Medium,6.5,7.5,8.5,Yes,Yes,Essential for skin barrier function,أساسي لوظيفة حاجز البشرة
Xanthan Gum,Xanthan Gum,Thickener/Stabilizer,2.0,2.0,1.0,4.0,9.0,80,High,0.1,2.0,1,Thickening and stabilizing,Hyaluronic Acid; Glycerin; Emulsifiers,None known,4.0,8.0,Variable,Low,9.0,9.5,9.5,Yes,Yes,Natural thickener from fermentation,مثخن طبيعي من التخمير
Carbomer,Carbomer,Thickener/Gel Former,2.0,2.0,1.0,3.0,8.5,100,High,0.1,1.0,1,Forms clear gels,Neutralizing agents; Hyaluronic Acid; Actives,Strong acids,6.0,11.0,Variable,Low,8.5,9.5,8.5,Yes,Yes,Synthetic polymer for gel formation,بوليمر صناعي لتكوين الجل
Hydroxyethylcellulose,Hydroxyethylcellulose,Thickener/Film Former,2.5,2.0,1.0,4.5,9.0,60,Medium,0.1,2.0,1,Thickening and film forming,Hyaluronic Acid; Glycerin; Emulsifiers,None known,4.0,8.0,Variable,Low,8.5,9.0,9.0,Yes,Yes,Cellulose-based thickener,مثخن قائم على السليلوز
